barcode,author,title,440$v(volume),publisher,copyrightdate,pages,ClassificationNumber,041$h(language),3(stockhead),homebranch,650$a(subject),price,365$c(currency),923$d(billdate),923$n(billnumber),942$c(bookcategory),952$c(section),952$8(booktype),952$e(sourceofpurchase),952$1(loststatus)
LGARC#53,Havell,Indian Architecture,,,1913,",260p",ARC,,,ARC,,80,,,,,,,,
LGARC#54,Hovell,Ancient and Medieval Architecture of India,,,1972,230p,ARC,,,ARC,,75,,,,,,,,
LGARC#55,Kumar S.,Building Costruction,,Delhi,1968,623p,ARC,,,ARC,,14.5,,,,,,,,
LGARC#56,Callender,T.S.S. H.B.of architectural design,,,1966,1299p,ARC,,,ARC,,228,,,,,,,,
LGARC#57,Pignatun,Traffic engineering Theory & practice,,Delhi,1973,502p,ARC,,,ARC,,133.87,,,,,,,,
LGARC#58,Usdi,Concrete meterial,,Delhi,1974,642p,ARC,,,ARC,,10,,,,,,,,
LGARC#59,Artist,The New funiture catalogue,,Delhi,,100p,ARC,,,ARC,,40.5,,,,,,,,
LGARC#60,Metcalf,Planning Academic and research Library buildings,,,1965,431p,ARC,,,ARC,,161.07,,,,,,,,
LGARC#61,Cullingworth,Town & country Planning in Britain,,,1972,326p,ARC,,,ARC,,49,,,,,,,,
LGARC#62,Bhardwaj,Urban Development in India,,National,1974,456p,ARC,,,ARC,,70,,,,,,,,
LGARC#63,Abram,Struggle for shelter in urbanizing world,,VF,1964,160p,ARC,,,ARC,,3.5,,,,,,,,
LGARC#64,Lang Paul,Principles of Air Conditioning,,Galgotia,1988,405p,ARC,,,ARC,,12.6,,,,,,,,
LGARC#65,I.S.I.,Structural Engineering H.B.no.3 1962,,,,,ARC,,,ARC,,23,,,,,,,,
LGARC#66,I.S.I.,N.B.C.of India 1970,,,,,ARC,,,ARC,,100,,,,,,,,
LGARC#67,I.S.I. 1964,Structural Engineering H.B.no.3,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#68,I.S.I.I S 6-2,Structural Engineering H.B.no.2 1962,,,,,ARC,,,ARC,,35,,,,,,,,
LGARC#69,Madok/Ambdekar,Town and Country Planning and Housing,,Longman,1971,252p,ARC,,,ARC,,30,,,,,,,,
LGARC#70,Hay W.W.,An Introdction to Transportation Engineering,,W.Tappan,1961,505p,ARC,,,ARC,,45,,,,,,,,
LGARC#71,Dr.M.Verma,Construction Planning and Measurmrnt Theory systems Technologies,,MBC,1977,298p,ARC,,,ARC,,25,,,,,,,,
LGARC#72,Indian Socity for Tech.Education,Rular Housing and village development,,SGSIT,1977,p,ARC,,,ARC,,0,,,,,,,,
LGARC#73,IRC, Specification for Roads & Bridge,,IRC,1978,323p,ARC,,,ARC,,30,,,,,,,,
LGARC#74,Callender,Time saver standard for architectural design data,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#75,Boyne,Architecture Working Detail no.2,,Architectural Press,1977,160p,ARC,,,ARC,,76,,,,,,,,
LGARC#76,Boyne,Architecture Working Detail Vol-III,,Architectural Press,1977,160p,ARC,,,ARC,,76,,,,,,,,
LGARC#77,Boyne,Architecture Working Detail Vol-IV,,Architectural Press,1977,160p,ARC,,,ARC,,76,,,,,,,,
LGARC#78,Boyne,Architecture Working Detail Vol-V,,Architectural Press,1969,159p,ARC,,,ARC,,76,,,,,,,,
LGARC#79,Boyne,Architecture Working Detail Vol-VI,,Architectural Press,1977,160p,ARC,,,ARC,,76,,,,,,,,
LGARC#80,TCPD,Gwalior Development plan,,,1978,319p,ARC,,,ARC,,25,,,,,,,,
LGARC#81,T.R.Roorkee,Course notes on traffic Engg.,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#82,Thaha,A manual of integreted rural development,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#83,Baker, Handbook of highway Engg.,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#84,Demkundwar,Refrigeration & air-conditioning,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#85,Vaisnavi,Concrete technology,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#86,Tiwari,Community Forestry management for rural development,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#87,Dutt,Town Planning in ancient India,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#88,,Architecture & building Directory of India,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#89,Krishnaswami,Concrete technology,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#90,Khanna & Arora,Airport Planning & Design,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#91,, Town Plan for the development of slab,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#92,Ural,construction of Lower  Cost Housing,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#93,"Xanthakar,Peters",Slurry  Walls,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#94,Krishna,Const.Design of,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#95,Clarks E Reynoleds,Reinforced beginners H.B.,,,,,ARC,,,ARC,,,,,,,,,,
