barcode,author,title,volume,publisher,copyright,pages,classificationnumber,language,stockhead,issueinglibrary,subject,price,365$c(currency),923$d(billdate),923$n(billnumber),942$c(bookcategory),952$c(section),952$8(booktype),952$e(sourceofpurchase),952$1(loststatus)
SC##019961,"Grant, E.L.",Statistical Quality Control,,Tata McGraw Hill,2007,764,,,,SCGRANT,,375,,,,,,,,
SC##019962,"Grant, E.L.",Statistical Quality Control,,Tata McGraw Hill,2007,764,,,,SCGRANT,,375,,,,,,,,
SC##019963,"Grant, E.L.",Statistical Quality Control,,Tata McGraw Hill,2007,764,,,,SCGRANT,,375,,,,,,,,
SC##019964,"Grant, E.L.",Statistical Quality Control,,Tata McGraw Hill,2007,764,,,,SCGRANT,,375,,,,,,,,
SC##019965,"Nag, P.K.",Heat and Mass Transfer,,Tata McGraw Hill,2007,866,,,,SCGRANT,,265,,,,,,,,
SC##019966,"Nag, P.K.",Heat and Mass Transfer,,Tata McGraw Hill,2007,866,,,,SCGRANT,,265,,,,,,,,
SC##019967,"Nag, P.K.",Heat and Mass Transfer,,Tata McGraw Hill,2007,866,,,,SCGRANT,,265,,,,,,,,
SC##019968,"Nag, P.K.",Heat and Mass Transfer,,Tata McGraw Hill,2007,866,,,,SCGRANT,,265,,,,,,,,
SC##019969,"Nag, P.K.",Heat and Mass Transfer,,Tata McGraw Hill,2007,866,,,,SCGRANT,,265,,,,,,,,
SC##019970,"Nag, P.K.",Heat and Mass Transfer,,Tata McGraw Hill,2007,866,,,,SCGRANT,,265,,,,,,,,
SC##019971,"Gupta, K.M.",Materials Science and Engineering,,Umesh,2006,701,,,,SCGRANT,,200,,,,,,,,
SC##019972,"Gupta, K.M.",Materials Science and Engineering,,Umesh,2006,701,,,,SCGRANT,,200,,,,,,,,
SC##019973,"Gupta, K.M.",Materials Science and Engineering,,Umesh,2006,701,,,,SCGRANT,,200,,,,,,,,
SC##019974,"Gupta, K.M.",Materials Science and Engineering,,Umesh,2006,701,,,,SCGRANT,,200,,,,,,,,
SC##019975,"Gupta, K.M.",Materials Science and Engineering,,Umesh,2006,701,,,,SCGRANT,,200,,,,,,,,
SC##019976,"Gupta, K.M.",Materials Science and Engineering,,Umesh,2006,701,,,,SCGRANT,,200,,,,,,,,
SC##019977,"Khan, B.H.",Non-Conventional Energy Resources,,Tata McGraw Hill,2007,335,,,,SCGRANT,,175,,,,,,,,
SC##019978,"Khan, B.H.",Non-Conventional Energy Resources,,Tata McGraw Hill,2007,335,,,,SCGRANT,,175,,,,,,,,
SC##019979,"Khan, B.H.",Non-Conventional Energy Resources,,Tata McGraw Hill,2007,335,,,,SCGRANT,,175,,,,,,,,
SC##019980,"Khan, B.H.",Non-Conventional Energy Resources,,Tata McGraw Hill,2007,335,,,,SCGRANT,,175,,,,,,,,
SC##019981,"Khan, B.H.",Non-Conventional Energy Resources,,Tata McGraw Hill,2007,335,,,,SCGRANT,,175,,,,,,,,
SC##019982,"Khan, B.H.",Non-Conventional Energy Resources,,Tata McGraw Hill,2007,335,,,,SCGRANT,,175,,,,,,,,
SC##019983,"Khan, B.H.",Non-Conventional Energy Resources,,Tata McGraw Hill,2007,335,,,,SCGRANT,,175,,,,,,,,
SC##019984,"Rao, Signiresu",Mechanical Vibration,,Pearson Education,2007,1108,,,,SCGRANT,,499,,,,,,,,
SC##019985,Domkundwar,Mechanical Engineering,,Dhanpat Rai,2007,0,,,,SCGRANT,,140,,,,,,,,
SC##019986,Domkundwar,Mechanical Engineering,,Dhanpat Rai,2007,0,,,,SCGRANT,,140,,,,,,,,
SC##019987,"Lehri, R.S.",Strength of Materials,,S K Kataria,2006,1116,,,,SCGRANT,,310,,,,,,,,
SC##019988,"Lehri, R.S.",Strength of Materials,,S K Kataria,2006,1116,,,,SCGRANT,,310,,,,,,,,
SC##019989,"Lehri, R.S.",Strength of Materials,,S K Kataria,2006,1116,,,,SCGRANT,,310,,,,,,,,
SC##019990,"Lehri, R.S.",Strength of Materials,,S K Kataria,2006,1116,,,,SCGRANT,,310,,,,,,,,
SC##019991,"Lehri, R.S.",Strength of Materials,,S K Kataria,2006,1116,,,,SCGRANT,,310,,,,,,,,
SC##019992,"Lehri, R.S.",Strength of Materials,,S K Kataria,2006,1116,,,,SCGRANT,,310,,,,,,,,
SC##019993,Sharma/Agarwal,Machine Design,,Katson,2008,1090,,,,SCGRANT,,325,,,,,,,,
SC##019994,Sharma/Agarwal,Machine Design,,Katson,2008,1090,,,,SCGRANT,,325,,,,,,,,
SC##019995,Sharma/Agarwal,Machine Design,,Katson,2008,1090,,,,SCGRANT,,325,,,,,,,,
SC##019996,Sharma/Agarwal,Machine Design,,Katson,2008,1090,,,,SCGRANT,,325,,,,,,,,
SC##019997,Sharma/Agarwal,Machine Design,,Katson,2008,1090,,,,SCGRANT,,325,,,,,,,,
SC##019998,"Bansal, R.K.",Fluid Mechanics and Hydraulic Machines,,Laxmi Publication,2007,1093,,,,SCGRANT,,425,,,,,,,,
SC##019999,"Bansal, R.K.",Fluid Mechanics and Hydraulic Machines,,Laxmi Publication,2007,1093,,,,SCGRANT,,425,,,,,,,,
SC##020000,"Bansal, R.K.",Fluid Mechanics and Hydraulic Machines,,Laxmi Publication,2007,1093,,,,SCGRANT,,425,,,,,,,,
SC##020001,"Bansal, R.K.",Fluid Mechanics and Hydraulic Machines,,Laxmi Publication,2007,1093,,,,SCGRANT,,425,,,,,,,,
SC##020002,"Bansal, R.K.",Fluid Mechanics and Hydraulic Machines,,Laxmi Publication,2007,1093,,,,SCGRANT,,425,,,,,,,,
SC##020003,"Sharma, P.C.",Production Engineering,,S.Chand,2006,925,,,,SCGRANT,,295,,,,,,,,
SC##020004,"Sharma, P.C.",Production Engineering,,S.Chand,2006,925,,,,SCGRANT,,295,,,,,,,,
SC##020005,"Sharma, P.C.",Production Engineering,,S.Chand,2006,925,,,,SCGRANT,,295,,,,,,,,
SC##020006,"Sharma, P.C.",Production Engineering,,S.Chand,2006,925,,,,SCGRANT,,295,,,,,,,,
SC##020007,"Sharma, P.C.",Production Engineering,,S.Chand,2006,925,,,,SCGRANT,,295,,,,,,,,
SC##020008,"Khurmi, R.S.",Refrigeration and Air Conditioning,,S.Chand,2008,708,,,,SCGRANT,,350,,,,,,,,
SC##020009,"Khurmi, R.S.",Refrigeration and Air Conditioning,,S.Chand,2008,708,,,,SCGRANT,,350,,,,,,,,
SC##020010,"Khurmi, R.S.",Refrigeration and Air Conditioning,,S.Chand,2008,708,,,,SCGRANT,,350,,,,,,,,
SC##020011,"Chandra, A.M.",Engineering Graphics,,Narosa Publication Pub,2007,380,,,,SCGRANT,,210,,,,,,,,
SC##020012,"Chandra, A.M.",Engineering Graphics,,Narosa Publication Pub,2007,380,,,,SCGRANT,,210,,,,,,,,
SC##020013,"Chandra, A.M.",Engineering Graphics,,Narosa Publication Pub,2007,380,,,,SCGRANT,,210,,,,,,,,
SC##020014,"Chandra, A.M.",Engineering Graphics,,Narosa Publication Pub,2007,380,,,,SCGRANT,,210,,,,,,,,
SC##020015,"Chandra, A.M.",Engineering Graphics,,Narosa Publication Pub,2007,380,,,,SCGRANT,,210,,,,,,,,
SC##020016,"Chandra, A.M.",Engineering Graphics,,Narosa Publication Pub,2007,380,,,,SCGRANT,,210,,,,,,,,
SC##020017,"Chandra, A.M.",Engineering Graphics,,Narosa Publication Pub,2007,380,,,,SCGRANT,,210,,,,,,,,
SC##020018,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,2007,219,,,,SCGRANT,,180,,,,,,,,
SC##020019,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,2007,219,,,,SCGRANT,,180,,,,,,,,
SC##020020,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,2007,219,,,,SCGRANT,,180,,,,,,,,
SC##020021,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,2007,219,,,,SCGRANT,,180,,,,,,,,
SC##020022,"Rajan, T.S.",Basic Mechanical Engineering,,New Age International,2007,219,,,,SCGRANT,,180,,,,,,,,
SC##020023,"Rattan, S.S.",Theory of Machines,,McgrawHill,2007,835,,,,SCGRANT,,285,,,,,,,,
SC##020024,"Rattan, S.S.",Theory of Machines,,McgrawHill,2007,835,,,,SCGRANT,,285,,,,,,,,
SC##020025,"Rattan, S.S.",Theory of Machines,,McgrawHill,2007,835,,,,SCGRANT,,285,,,,,,,,
SC##020026,"Rattan, S.S.",Theory of Machines,,McgrawHill,2007,835,,,,SCGRANT,,285,,,,,,,,
SC##020027,"Rattan, S.S.",Theory of Machines,,McgrawHill,2007,835,,,,SCGRANT,,285,,,,,,,,
SC##020028,"Rattan, S.S.",Theory of Machines,,McgrawHill,2007,835,,,,SCGRANT,,285,,,,,,,,
SC##020029,"Rao, Signiresu",Mechanical Vibration,,Doringkinde,2007,1108,,,,SCGRANT,,499,,,,,,,,
SC##020030,"Rao, Signiresu",Mechanical Vibration,,Doringkinde,2007,1108,,,,SCGRANT,,499,,,,,,,,
SC##020031,"Rao, Signiresu",Mechanical Vibration,,Doringkinde,2007,1108,,,,SCGRANT,,499,,,,,,,,
SC##020032,"Rao, Signiresu",Mechanical Vibration,,Doringkinde,2007,1108,,,,SCGRANT,,499,,,,,,,,
SC##020033,"Rao, Signiresu",Mechanical Vibration,,Doringkinde,2007,1108,,,,SCGRANT,,499,,,,,,,,
SC##020034,"Kumar, D.S.",Thermal Science & Engineering,,S K Kataria,2007,763,,,,SCGRANT,,265,,,,,,,,
SC##020035,"Kumar, D.S.",Thermal Science & Engineering,,S K Kataria,2007,763,,,,SCGRANT,,265,,,,,,,,
SC##020036,"Kumar, D.S.",Thermal Science & Engineering,,S K Kataria,2007,763,,,,SCGRANT,,265,,,,,,,,
SC##020037,"Kumar, D.S.",Thermal Science & Engineering,,S K Kataria,2007,763,,,,SCGRANT,,265,,,,,,,,
SC##020038,"Kumar, D.S.",Thermal Science & Engineering,,S K Kataria,2007,763,,,,SCGRANT,,265,,,,,,,,
SC##020039,"Kumar, D.S.",Thermal Science & Engineering,,S K Kataria,2007,763,,,,SCGRANT,,265,,,,,,,,
SC##020040,"Chand, S,",Industrial Engineering & Products Management,,S.Chand,2007,687,,,,SCGRANT,,295,,,,,,,,
SC##020041,"Chand, S,",Industrial Engineering & Products Management,,S.Chand,2007,687,,,,SCGRANT,,295,,,,,,,,
SC##020042,"Chand, S,",Industrial Engineering & Products Management,,S.Chand,2007,687,,,,SCGRANT,,295,,,,,,,,
SC##020043,"Chand, S,",Industrial Engineering & Products Management,,S.Chand,2007,687,,,,SCGRANT,,295,,,,,,,,
SC##020044,"Chand, S,",Industrial Engineering & Products Management,,S.Chand,2007,687,,,,SCGRANT,,295,,,,,,,,
SC##020045,"Chand, S,",Industrial Engineering & Products Management,,S.Chand,2007,687,,,,SCGRANT,,295,,,,,,,,
SC##020046,"Chand, S,",Industrial Engineering & Products Management,,S.Chand,2007,687,,,,SCGRANT,,295,,,,,,,,
SC##020047,"Rajput, R.K.",Heat and Mass Transfer,,S.Chand,2006,864,,,,SCGRANT,,425,,,,,,,,
SC##020048,"Rajput, R.K.",Heat and Mass Transfer,,S.Chand,2006,864,,,,SCGRANT,,425,,,,,,,,
SC##020049,"Rajput, R.K.",Heat and Mass Transfer,,S.Chand,2006,864,,,,SCGRANT,,425,,,,,,,,
SC##020050,"Rajput, R.K.",Heat and Mass Transfer,,S.Chand,2006,864,,,,SCGRANT,,425,,,,,,,,
SC##020051,"Rajput, R.K.",Heat and Mass Transfer,,Eurasia Pub,2006,864,,,,SCGRANT,,425,,,,,,,,
SC##020052,"Khurmi, R.S.",Refrigeration and Air Conditioning,,Eurasia Pub,2008,708,,,,SCGRANT,,350,,,,,,,,
SC##020053,"Khurmi, R.S.",Refrigeration and Air Conditioning,,Eurasia Pub,2008,708,,,,SCGRANT,,350,,,,,,,,
SC##020054,"Khurmi, R.S.",Refrigeration and Air Conditioning,,Eurasia Pub,2008,708,,,,SCGRANT,,350,,,,,,,,
SC##020055,"Khurmi, R.S.",Refrigeration and Air Conditioning,,S K Kataria,2008,708,,,,SCGRANT,,350,,,,,,,,
SC##020056,"Verma, A.P.",Operation Research,,S K Kataria,2007,1183,,,,SCGRANT,,300,,,,,,,,
SC##020057,"Verma, A.P.",Operation Research,,S K Kataria,2007,1183,,,,SCGRANT,,300,,,,,,,,
SC##020058,"Verma, A.P.",Operation Research,,S K Kataria,2007,1183,,,,SCGRANT,,300,,,,,,,,
SC##020059,"Verma, A.P.",Operation Research,,S K Kataria,2007,1183,,,,SCGRANT,,300,,,,,,,,
SC##020060,"Verma, A.P.",Operation Research,,S K Kataria,2007,1183,,,,SCGRANT,,300,,,,,,,,
SC##020061,"Verma, A.P.",Operation Research,,S K Kataria,2007,1183,,,,SCGRANT,,300,,,,,,,,
SC##020062,"Verma, A.P.",Operation Research,,S K Kataria,2007,1183,,,,SCGRANT,,300,,,,,,,,
SC##020063,"Tokheim, L.",Digital Electronics,,Tata McGraw Hill,2007,518,,,,SCGRANT,,425,,,,,,,,
SC##020064,"Tokheim, L.",Digital Electronics,,Tata McGraw Hill,2007,518,,,,SCGRANT,,425,,,,,,,,
SC##020065,"Selvaraian, A.",Optical Fiber Communication,,McgrawHill,2007,354,,,,SCGRANT,,250,,,,,,,,
SC##020066,"Selvaraian, A.",Optical Fiber Communication,,McgrawHill,2007,354,,,,SCGRANT,,250,,,,,,,,
SC##020067,"Kumar, Ashok",Control Systems,,McgrawHill,2006,309,,,,SCGRANT,,210,,,,,,,,
SC##020068,"Kumar , Ashok",Control Systems,,McgrawHill,2006,309,,,,SCGRANT,,210,,,,,,,,
SC##020069,"Nasar, Syed A.",Electric Circuits,,McgrawHill,2004,760,,,,SCGRANT,,375,,,,,,,,
SC##020070,"Achuthan, M.K.",Fundamentals of SemiConductor Devices,,McgrawHill,2007,724,,,,SCGRANT,,295,,,,,,,,
SC##020071,"Achuthan, M.K.",Fundamentals of SemiConductor Devices,,McgrawHill,2007,724,,,,SCGRANT,,295,,,,,,,,
SC##020072,"Salivahanan, S.",Electronic Devices & Circuits,,McgrawHill,2007,946,,,,SCGRANT,,260,,,,,,,,
SC##020073,"Salivahanan, S.",Electronic Devices & Circuits,,McgrawHill,2007,946,,,,SCGRANT,,260,,,,,,,,
SC##020074,"Taub, Herbert",Taub's Principles of Communication Systems,,McgrawHill,2008,842,,,,SCGRANT,,295,,,,,,,,
SC##020075,"Taub, Herbert",Taub's Principles of Communication Systems,,McgrawHill,2008,842,,,,SCGRANT,,295,,,,,,,,
SC##020076,"Carlson, Bruce A.",Communication Systems,,McgrawHill,2002,850,,,,SCGRANT,,340,,,,,,,,
SC##020077,"Carlson, Bruce A.",Communication Systems,,McgrawHill,2002,850,,,,SCGRANT,,340,,,,,,,,
SC##020078,"Riordan, D.E.",Technical Report Writing Today,,Biztantra,2007,598,,,,SCGRANT,,249,,,,,,,,
SC##020079,"Riordan, D.E.",Technical Report Writing Today,,Biztantra,2007,598,,,,SCGRANT,,249,,,,,,,,
SC##020080,"Riordan, D.E.",Technical Report Writing Today,,Biztantra,2007,598,,,,SCGRANT,,249,,,,,,,,
SC##020081,"Riordan, D.E.",Technical Report Writing Today,,Biztantra,2007,598,,,,SCGRANT,,249,,,,,,,,
SC##020082,"Riordan, D.E.",Technical Report Writing Today,,Biztantra,2007,598,,,,SCGRANT,,249,,,,,,,,
SC##020083,"Riordan, D.E.",Technical Report Writing Today,,Biztantra,2007,598,,,,SCGRANT,,249,,,,,,,,
SC##020084,"Riordan, D.E.",Technical Report Writing Today,,Biztantra,2007,598,,,,SCGRANT,,249,,,,,,,,
SC##020085,"Riordan, D.E.",Technical Report Writing Today,,Biztantra,2007,598,,,,SCGRANT,,249,,,,,,,,
SC##020086,"Riordan, D.E.",Technical Report Writing Today,,Biztantra,2007,598,,,,SCGRANT,,249,,,,,,,,
SC##020087,"Riordan, D.E.",Technical Report Writing Today,,Biztantra,2007,598,,,,SCGRANT,,249,,,,,,,,
SC##020088,"Boyes, William",The New Managerial Economics,,Biztantra,2005,363,,,,SCGRANT,,249,,,,,,,,
SC##020089,"Boyes, William",The New Managerial Economics,,Biztantra,2005,363,,,,SCGRANT,,249,,,,,,,,
SC##020090,"Boyes, William",The New Managerial Economics,,Biztantra,2005,363,,,,SCGRANT,,249,,,,,,,,
SC##020091,"Boyes, William",The New Managerial Economics,,Biztantra,2005,363,,,,SCGRANT,,249,,,,,,,,
SC##020092,"Duening, T.N",Management :Principles & Guidelines,,Biztantra,2005,528,,,,SCGRANT,,299,,,,,,,,
SC##020093,"Duening, T.N",Management :Principles & Guidelines,,Biztantra,2005,528,,,,SCGRANT,,299,,,,,,,,
SC##020094,"Duening, T.N",Management :Principles & Guidelines,,Biztantra,2005,528,,,,SCGRANT,,299,,,,,,,,
SC##020095,"Duening, T.N",Management :Principles & Guidelines,,Biztantra,2005,528,,,,SCGRANT,,299,,,,,,,,
SC##020096,"Mishra, S.",Communication Skills For Engineers,,Pearson Education,2007,257,,,,SCGRANT,,175,,,,,,,,
